Order_ID,Customer_ID,Customer_Name,Product_Name,Product_Category,Quantity,Unit_Price,Revenue,Profit,Order_Date,Region,State_City,Profit_Margin_Pct,Revenue_Per_Customer,Avg_Order_Value,Order_Year,Order_Month,Order_Quarter
ORD005305,CUST01366,Debra Valentine,Bookshelf,Furniture,6,1579.21,9475.26,1595.47,2023-11-12,East,Bhubaneswar,16.84,15125.26,56994.15,2023,11,4
ORD003772,CUST01005,Mary Miller,Sneakers,Clothing,3,19193.83,57581.49,11876.25,2023-05-13,East,Guwahati,20.63,314023.25,56994.15,2023,5,2
ORD004162,CUST01114,Brian Gonzalez,Smartphone,Electronics,8,1670.82,13366.56,1671.65,2024-06-29,North,Delhi,12.51,110493.12,56994.15,2024,6,2
ORD004540,CUST00043,Sherry Decker,Jacket,Clothing,7,15080.53,105563.71,27521.95,2023-07-07,South,Chennai,26.07,390897.09,56994.15,2023,7,3
ORD004418,CUST01533,Danielle Jones,Table Lamp,Home Decor,1,19188.89,19188.89,6006.02,2023-11-19,South,Chennai,31.3,158000.96,56994.15,2023,11,4
ORD002014,CUST00197,Daniel Salinas,T-Shirt,Clothing,5,8343.69,41718.45,3857.14,2024-09-24,South,Bengaluru,9.25,423846.55,56994.15,2024,9,3
ORD005125,CUST00389,Sandra Drake,Running Shoes,Sports,6,4823.64,28941.84,4127.39,2024-01-20,North,Chandigarh,14.26,457406.78,56994.15,2024,1,1
ORD005767,CUST01786,Stephanie Knight,Rice Bag,Groceries,5,14880.33,74401.65,13817.69,2024-02-21,East,Patna,18.57,304034.07999999996,56994.15,2024,2,1
ORD007047,CUST01163,Dorothy Boyd,Photo Frame,Home Decor,7,12282.06,85974.42,14980.62,2023-07-08,North,Chandigarh,17.42,216100.63,56994.15,2023,7,3
ORD003762,CUST01159,Jesse Castro,Tea Pack,Groceries,7,6384.47,44691.29,10804.92,2024-11-30,East,Bhubaneswar,24.18,355831.07,56994.15,2024,11,4
ORD002698,CUST01648,Elizabeth Hunter,Running Shoes,Sports,1,17992.73,17992.73,1025.37,2023-06-20,East,Guwahati,5.7,198621.02999999997,56994.15,2023,6,2
ORD005473,CUST01231,Maria Case,Bluetooth Speaker,Electronics,3,9099.09,27297.27,8546.82,2025-12-29,East,Patna,31.31,399483.61000000004,56994.15,2025,12,4
ORD007327,CUST00539,Emma Owens,Sneakers,Clothing,6,12465.07,74790.42,7471.56,2023-12-11,North,Jaipur,9.99,269109.41000000003,56994.15,2023,12,4
ORD004414,CUST00481,Dawn Mullins,Dumbbell Set,Sports,4,14288.11,57152.44,16534.44,2025-09-15,West,Ahmedabad,28.93,758274.85,56994.15,2025,9,3
ORD002871,CUST00624,Colleen Wright,Coffee Beans,Groceries,6,20552.52,123315.12,13832.07,2024-09-13,South,Hyderabad,11.22,250816.21,56994.15,2024,9,3
ORD001114,CUST00664,Samuel Turner,Sofa,Furniture,3,15311.56,45934.68,4462.09,2025-11-23,South,Chennai,9.71,260354.29,56994.15,2025,11,4
ORD002982,CUST00064,Donald Wright,Bookshelf,Furniture,6,23876.9,143261.4,34533.03,2023-04-21,West,Ahmedabad,24.1,199354.82,56994.15,2023,4,2
ORD003149,CUST00178,Michael Wang,Table Lamp,Home Decor,7,12154.31,85080.17,29052.9,2023-05-04,East,Kolkata,34.15,470106.27,56994.15,2023,5,2
ORD001802,CUST01179,Jason Graves,Pen Set,Stationery,3,18020.54,54061.62,18375.98,2024-12-22,South,Kochi,33.99,214345.24,56994.15,2024,12,4
ORD003161,CUST01544,Jerry Johnson,Notebook,Stationery,4,8475.03,33900.12,6095.38,2024-12-03,East,Patna,17.98,337241.11,56994.15,2024,12,4
ORD002242,CUST00891,Jennifer Morris,Desk Organizer,Stationery,7,8352.93,58470.51,18450.51,2024-04-26,West,Ahmedabad,31.56,368585.53,56994.15,2024,4,2
ORD007212,CUST00143,Patricia Rodriguez,Coffee Table,Furniture,2,3870.44,7740.88,1533.47,2023-04-26,South,Hyderabad,19.81,111088.62,56994.15,2023,4,2
ORD002392,CUST01740,Laura Bush,Cereal,Groceries,7,4809.93,33669.51,2408.19,2023-06-13,South,Hyderabad,7.15,662402.89,56994.15,2023,6,2
ORD001449,CUST00515,Angelica Parker,Table Lamp,Home Decor,6,2537.83,15226.98,2916.82,2024-02-06,North,Lucknow,19.16,142546.43,56994.15,2024,2,1
ORD003894,CUST00045,Angelica Tucker,Notebook,Stationery,5,6493.44,32467.2,8538.74,2023-07-15,North,Jaipur,26.3,408111.02,56994.15,2023,7,3
ORD006175,CUST00038,Cassandra Gaines,Snack Box,Groceries,1,12444.72,12444.72,1543.65,2025-09-14,North,Delhi,12.4,297857.13,56994.15,2025,9,3
ORD005702,CUST00165,Michael Powell,Running Shoes,Sports,6,21489.03,128934.18,8963.2,2025-07-10,South,Bengaluru,6.95,263241.78,56994.15,2025,7,3
ORD006519,CUST01783,Mary Houston,Sketchbook,Stationery,4,272.99,1091.96,268.24,2024-09-24,South,Hyderabad,24.57,220849.30000000002,56994.15,2024,9,3
ORD003756,CUST00991,Carmen Preston,Desk Organizer,Stationery,5,17571.18,87855.9,15551.14,2024-05-23,East,Kolkata,17.7,333117.95,56994.15,2024,5,2
ORD003349,CUST01405,Christopher Perez,Dumbbell Set,Sports,4,12569.39,50277.56,3155.9,2023-01-05,South,Chennai,6.28,640276.29,56994.15,2023,1,1
ORD004237,CUST00758,Melissa Stephens,Bluetooth Speaker,Electronics,1,22074.14,22074.14,5866.93,2025-11-12,West,Pune,26.58,281010.89,56994.15,2025,11,4
ORD000323,CUST01000,Elizabeth Sanders,Wall Art,Home Decor,1,18310.12,18310.12,4081.05,2023-06-10,West,Mumbai,22.29,222998.8,56994.15,2023,6,2
ORD004712,CUST01075,Catherine Frazier,Tablet,Electronics,8,9788.57,78308.56,23424.02,2024-07-14,West,Mumbai,29.91,242811.52,56994.15,2024,7,3
ORD004953,CUST00198,Spencer Haynes,Bluetooth Speaker,Electronics,6,3246.53,19479.18,3173.01,2024-01-02,North,Lucknow,16.29,389664.44,56994.15,2024,1,1
ORD003891,CUST01740,Laura Bush,Sketchbook,Stationery,3,6567.63,19702.89,6631.7,2023-05-12,South,Kochi,33.66,662402.89,56994.15,2023,5,2
