Order_ID,Customer_ID,Customer_Name,Product_Name,Product_Category,Quantity,Unit_Price,Revenue,Profit,Order_Date,Region,State_City
ORD005305,CUST01366,Debra Valentine,Bookshelf,furniture,6,1579.21,9475.26,1595.47,12/11/2023,East,Bhubaneswar
ORD003772,CUST01005,Mary Miller,Sneakers,Clothes,3,19193.83,57581.49,11876.25,2023-05-13,East,Guwahati
ORD004162,CUST01114,,Smartphone,electronics,8,,13366.56,1671.65,29-Jun-2024,,Delhi
ORD004540,CUST00043,Sherry Decker,Jacket,Clothes,7,15080.53,105563.71,27521.95,2023-07-07,South,Chennai
ORD004418,CUST01533,Danielle Jones,Table Lamp,Home decor,1,19188.89,19188.89,6006.02,11-19-2023,South,Chennai
ORD002014,CUST00197,Daniel Salinas,T-Shirt,Clothes,5,8343.69,41718.45,3857.14,24/09/2024,South,Bengaluru
ORD005125,CUST00389,Sandra Drake,Running Shoes,SPORTS,6,4823.64,28941.84,4127.39,01-20-2024,North,Chandigarh
ORD005767,CUST01786,Stephanie Knight,Rice Bag,Groceries,5,14880.33,74401.65,13817.69,2024-02-21,East,Patna
ORD007047,CUST01163,Dorothy Boyd,Photo Frame,home decor,7,12282.06,85974.42,14980.62,08-Jul-2023,North,Chandigarh
ORD003762,CUST01159,Jesse Castro,Tea Pack,groceries,7,6384.47,44691.29,10804.92,11-30-2024,East,Bhubaneswar
ORD002698,CUST01648,Elizabeth Hunter,Running Shoes,SPORTS,1,17992.73,17992.73,1025.37,06-20-2023,East,Guwahati
ORD005473,CUST01231,Maria Case,Bluetooth Speaker,ELECTRONICS,3,9099.09,27297.27,8546.82,29/12/2025,East,Patna
ORD007327,CUST00539,Emma Owens,Sneakers,Clothing,6,12465.07,74790.42,7471.56,2023-12-11,North,Jaipur
ORD004414,CUST00481,Dawn Mullins,Dumbbell Set,Sports,4,14288.11,57152.44,16534.44,15-Sep-2025,West,Ahmedabad
ORD002871,CUST00624,Colleen Wright,Coffee Beans,Grocery,6,20552.52,123315.12,13832.07,13/09/2024,South,Hyderabad
ORD001114,CUST00664,Samuel Turner,Sofa,furniture,3,15311.56,45934.68,4462.09,23-Nov-2025,South,Chennai
ORD002982,CUST00064,Donald Wright,Bookshelf,furniture,6,23876.9,143261.4,34533.03,21-Apr-2023,West,Ahmedabad
ORD003149,CUST00178,Michael Wang,Table Lamp,home decor,7,12154.31,85080.17,29052.9,04-May-2023,East,Kolkata
ORD001802,CUST01179,Jason Graves,Pen Set,STATIONERY,3,18020.54,54061.62,18375.98,22/12/2024,South,Kochi
ORD003161,CUST01544,Jerry Johnson,Notebook,Stationary,4,8475.03,33900.12,6095.38,03/12/2024,East,Patna
ORD002242,CUST00891,Jennifer Morris,Desk Organizer,stationery,7,8352.93,58470.51,18450.51,26/04/2024,West,Ahmedabad
ORD007212,CUST00143,Patricia Rodriguez,Coffee Table,Furniture,2,3870.44,7740.88,1533.47,26-Apr-2023,South,Hyderabad
ORD002392,CUST01740,Laura Bush,Cereal,Grocery,7,4809.93,33669.51,2408.19,2023-06-13,South,Hyderabad
